"","Y7AGGLO5ST","Y7PL5ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Zone rurale (moins de 2 000 habitants)","Le RN est une menace pour la démocratie",52.0591418682515,2484.01042841799,2237,"2024-07-26",11204
"2","Zone rurale (moins de 2 000 habitants)","Tactique des partis traditionnels pour garder le pouvoir",47.9408581317485,2484.01042841799,2237,"2024-07-26",11204
"3","Zone urbaine de 2 000 à 9 999 habitants","Le RN est une menace pour la démocratie",55.6060499103889,1537.51452452405,1368,"2024-07-26",11204
"4","Zone urbaine de 2 000 à 9 999 habitants","Tactique des partis traditionnels pour garder le pouvoir",44.3939500896111,1537.51452452405,1368,"2024-07-26",11204
"5","Zone urbaine de 10 000 à 49 999 habitants","Le RN est une menace pour la démocratie",52.5541914711469,1286.2181079339,1295,"2024-07-26",11204
"6","Zone urbaine de 10 000 à 49 999 habitants","Tactique des partis traditionnels pour garder le pouvoir",47.4458085288531,1286.2181079339,1295,"2024-07-26",11204
"7","Zone urbaine de 50 000 à 199 999 habitants","Le RN est une menace pour la démocratie",55.7545755389167,1348.45743679642,1559,"2024-07-26",11204
"8","Zone urbaine de 50 000 à 199 999 habitants","Tactique des partis traditionnels pour garder le pouvoir",44.2454244610833,1348.45743679642,1559,"2024-07-26",11204
"9","Zone urbaine de 200 000 habitants et plus","Le RN est une menace pour la démocratie",56.0087640820207,4539.32079959149,4736,"2024-07-26",11204
"10","Zone urbaine de 200 000 habitants et plus","Tactique des partis traditionnels pour garder le pouvoir",43.9912359179793,4539.32079959149,4736,"2024-07-26",11204
