"","Y7EDUST","Y7PL5ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Aucun diplôme","Le RN est une menace pour la démocratie",48.4789442614415,416.435741483539,371,"2024-07-26",11204
"2","Aucun diplôme","Tactique des partis traditionnels pour garder le pouvoir",51.5210557385585,416.435741483539,371,"2024-07-26",11204
"3","CAP, BEP","Le RN est une menace pour la démocratie",47.711919023953,2057.59994612348,1927,"2024-07-26",11204
"4","CAP, BEP","Tactique des partis traditionnels pour garder le pouvoir",52.288080976047,2057.59994612348,1927,"2024-07-26",11204
"5","Baccalauréat","Le RN est une menace pour la démocratie",54.0772934357572,2726.36846364003,2523,"2024-07-26",11204
"6","Baccalauréat","Tactique des partis traditionnels pour garder le pouvoir",45.9227065642428,2726.36846364003,2523,"2024-07-26",11204
"7","Bac +2","Le RN est une menace pour la démocratie",53.4622373244224,2366.03107410121,2481,"2024-07-26",11204
"8","Bac +2","Tactique des partis traditionnels pour garder le pouvoir",46.5377626755776,2366.03107410121,2481,"2024-07-26",11204
"9","Bac +3 et plus","Le RN est une menace pour la démocratie",60.495336702775,3629.08607191559,3893,"2024-07-26",11204
"10","Bac +3 et plus","Tactique des partis traditionnels pour garder le pouvoir",39.504663297225,3629.08607191559,3893,"2024-07-26",11204
