"","Y6AGERST","Y6ENJEURST_0","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","18 à 24 ans","Le chômage",32.8424800434608,1309.52409419768,891,"2024-06-21",11820
"2","18 à 24 ans","Le système scolaire et l’éducation",15.0403053600901,1309.52409419768,891,"2024-06-21",11820
"3","18 à 24 ans","La sécurité des biens et des personnes",10.1722370925825,1309.52409419768,891,"2024-06-21",11820
"4","18 à 24 ans","Le montant des déficits publics",4.84369438748594,1309.52409419768,891,"2024-06-21",11820
"5","18 à 24 ans","Autres réponses",37.1012831163806,1309.52409419768,891,"2024-06-21",11820
"6","25 à 34 ans","Le chômage",33.6666442139681,1732.64769637984,1554,"2024-06-21",11820
"7","25 à 34 ans","Le système scolaire et l’éducation",15.5225206802945,1732.64769637984,1554,"2024-06-21",11820
"8","25 à 34 ans","La sécurité des biens et des personnes",10.2348926443037,1732.64769637984,1554,"2024-06-21",11820
"9","25 à 34 ans","Le montant des déficits publics",4.81911104990862,1732.64769637984,1554,"2024-06-21",11820
"10","25 à 34 ans","Autres réponses",35.7568314115251,1732.64769637984,1554,"2024-06-21",11820
"11","35 à 49 ans","Le chômage",21.7966642663857,2655.71059505274,2477,"2024-06-21",11820
"12","35 à 49 ans","Le système scolaire et l’éducation",22.4444557641535,2655.71059505274,2477,"2024-06-21",11820
"13","35 à 49 ans","La sécurité des biens et des personnes",13.0576301627023,2655.71059505274,2477,"2024-06-21",11820
"14","35 à 49 ans","Le montant des déficits publics",7.59580844041331,2655.71059505274,2477,"2024-06-21",11820
"15","35 à 49 ans","Autres réponses",35.1054413663451,2655.71059505274,2477,"2024-06-21",11820
"16","50 à 59 ans","Le chômage",16.1798986034721,1946.59993260433,2050,"2024-06-21",11820
"17","50 à 59 ans","Le système scolaire et l’éducation",22.3205864819032,1946.59993260433,2050,"2024-06-21",11820
"18","50 à 59 ans","La sécurité des biens et des personnes",17.6687407315636,1946.59993260433,2050,"2024-06-21",11820
"19","50 à 59 ans","Le montant des déficits publics",8.88510491271535,1946.59993260433,2050,"2024-06-21",11820
"20","50 à 59 ans","Autres réponses",34.9456692703458,1946.59993260433,2050,"2024-06-21",11820
"21","60 ans et plus","Le chômage",11.7222809200011,4175.51768176541,4848,"2024-06-21",11820
"22","60 ans et plus","Le système scolaire et l’éducation",18.3043699282459,4175.51768176541,4848,"2024-06-21",11820
"23","60 ans et plus","La sécurité des biens et des personnes",20.8815562652572,4175.51768176541,4848,"2024-06-21",11820
"24","60 ans et plus","Le montant des déficits publics",12.1479712256535,4175.51768176541,4848,"2024-06-21",11820
"25","60 ans et plus","Autres réponses",36.9438216608423,4175.51768176541,4848,"2024-06-21",11820
