,EMPST,CERTST1,pct,n,unweighted_n,VAGUE
1,Salarié (salarié à plein temps ou à temps partiel),1,32.741547901189,5587.71611089093,5507,2023-06-16
2,Indépendant (travaille à mon compte),1,32.4716206058846,419.008088588747,400,2023-06-16
3,"Sans emploi (ne travaille pas actuellement tout en<br>recherchant un emploi ou non, personne au foyer,<br>retraité, étudiant ou élève)",1,24.9107992221992,4624.27580052031,4724,2023-06-16
4,Salarié (salarié à plein temps ou à temps partiel),1,32.7229889372571,6127.72609645145,5972,2023-11-29
5,Indépendant (travaille à mon compte),1,33.854372996492,425.041824397412,408,2023-11-29
6,"Sans emploi (ne travaille pas actuellement tout en<br>recherchant un emploi ou non, personne au foyer,<br>retraité, étudiant ou élève)",1,25.4154748694923,5138.23207915107,5311,2023-11-29
7,Salarié (salarié à plein temps ou à temps partiel),1,23.9259324205234,6148.11845325267,5936,2024-03-01
8,Indépendant (travaille à mon compte),1,24.4169239031409,465.203166725617,420,2024-03-01
9,"Sans emploi (ne travaille pas actuellement tout en<br>recherchant un emploi ou non, personne au foyer,<br>retraité, étudiant ou élève)",1,17.9669460956989,5156.67838002166,5414,2024-03-01
10,Salarié (salarié à plein temps ou à temps partiel),1,23.680275904614,5532.55002417421,5562,2024-04-19
11,Indépendant (travaille à mon compte),1,23.8252767130441,422.427172790769,365,2024-04-19
12,"Sans emploi (ne travaille pas actuellement tout en<br>recherchant un emploi ou non, personne au foyer,<br>retraité, étudiant ou élève)",1,17.2504055389919,4696.022803035,4724,2024-04-19
13,Salarié (salarié à plein temps ou à temps partiel),1,21.2620230645479,5929.72949713022,5825,2024-05-27
14,Indépendant (travaille à mon compte),1,20.5719774616022,427.933503314718,390,2024-05-27
15,"Sans emploi (ne travaille pas actuellement tout en<br>recherchant un emploi ou non, personne au foyer,<br>retraité, étudiant ou élève)",1,15.9376803275296,5072.33699955504,5215,2024-05-27
