"","Y7AGERST","Y7PL5ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","18 à 24 ans","Le RN est une menace pour la démocratie",63.2640791375743,1241.30543925657,671,"2024-07-26",11204
"2","18 à 24 ans","Tactique des partis traditionnels pour garder le pouvoir",36.7359208624257,1241.30543925657,671,"2024-07-26",11204
"3","25 à 34 ans","Le RN est une menace pour la démocratie",58.6941796057701,1639.16223791602,1368,"2024-07-26",11204
"4","25 à 34 ans","Tactique des partis traditionnels pour garder le pouvoir",41.3058203942299,1639.16223791602,1368,"2024-07-26",11204
"5","35 à 49 ans","Le RN est une menace pour la démocratie",53.3354726371949,2516.40261758176,2359,"2024-07-26",11204
"6","35 à 49 ans","Tactique des partis traditionnels pour garder le pouvoir",46.6645273628051,2516.40261758176,2359,"2024-07-26",11204
"7","50 à 59 ans","Le RN est une menace pour la démocratie",48.8051508586164,1845.19217397194,1978,"2024-07-26",11204
"8","50 à 59 ans","Tactique des partis traditionnels pour garder le pouvoir",51.1948491413836,1845.19217397194,1978,"2024-07-26",11204
"9","60 ans et plus","Le RN est une menace pour la démocratie",53.8322033195692,3953.45882853756,4819,"2024-07-26",11204
"10","60 ans et plus","Tactique des partis traditionnels pour garder le pouvoir",46.1677966804308,3953.45882853756,4819,"2024-07-26",11204
