"","Y7PCSIST","Y7PL5ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Agriculteur exploitant, artisan, commerçant, chef d'entreprise","Le RN est une menace pour la démocratie",49.6705073470499,513.092301433559,326,"2024-07-26",11204
"2","Agriculteur exploitant, artisan, commerçant, chef d'entreprise","Tactique des partis traditionnels pour garder le pouvoir",50.3294926529501,513.092301433559,326,"2024-07-26",11204
"3","Cadre supérieur","Le RN est une menace pour la démocratie",59.6255046319104,1205.8264346907,1685,"2024-07-26",11204
"4","Cadre supérieur","Tactique des partis traditionnels pour garder le pouvoir",40.3744953680896,1205.8264346907,1685,"2024-07-26",11204
"5","Profession intermédiaire","Le RN est une menace pour la démocratie",55.4458147568485,1766.46820857759,1552,"2024-07-26",11204
"6","Profession intermédiaire","Tactique des partis traditionnels pour garder le pouvoir",44.5541852431516,1766.46820857759,1552,"2024-07-26",11204
"7","Employé","Le RN est une menace pour la démocratie",52.4871743810835,1867.64757874881,1829,"2024-07-26",11204
"8","Employé","Tactique des partis traditionnels pour garder le pouvoir",47.5128256189165,1867.64757874881,1829,"2024-07-26",11204
"9","Ouvrier","Le RN est une menace pour la démocratie",48.5477410528397,1333.50200971203,995,"2024-07-26",11204
"10","Ouvrier","Tactique des partis traditionnels pour garder le pouvoir",51.4522589471603,1333.50200971203,995,"2024-07-26",11204
"11","Retraité, inactif","Le RN est une menace pour la démocratie",56.2739193818215,4508.98476410117,4808,"2024-07-26",11204
"12","Retraité, inactif","Tactique des partis traditionnels pour garder le pouvoir",43.7260806181785,4508.98476410117,4808,"2024-07-26",11204
