"","Y7ECO2ST2","Y7PL5ST","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Moins de 1 250 euros","Le RN est une menace pour la démocratie",53.9860540363388,969.482579356921,807,"2024-07-26",11204
"2","Moins de 1 250 euros","Tactique des partis traditionnels pour garder le pouvoir",46.0139459636612,969.482579356921,807,"2024-07-26",11204
"3","De 1 250 euros à 1 999 euros","Le RN est une menace pour la démocratie",55.3048780657848,2129.20895060799,1927,"2024-07-26",11204
"4","De 1 250 euros à 1 999 euros","Tactique des partis traditionnels pour garder le pouvoir",44.6951219342152,2129.20895060799,1927,"2024-07-26",11204
"5","De 2 000 à 3 499 euros","Le RN est une menace pour la démocratie",52.9513469846076,4081.25918742504,4066,"2024-07-26",11204
"6","De 2 000 à 3 499 euros","Tactique des partis traditionnels pour garder le pouvoir",47.0486530153924,4081.25918742504,4066,"2024-07-26",11204
"7","De 3 500 à 4 999 euros","Le RN est une menace pour la démocratie",55.0446927485748,2173.94856552127,2358,"2024-07-26",11204
"8","De 3 500 à 4 999 euros","Tactique des partis traditionnels pour garder le pouvoir",44.9553072514252,2173.94856552127,2358,"2024-07-26",11204
"9","5 000 euros et plus","Le RN est une menace pour la démocratie",58.1695164911953,928.79827935573,1119,"2024-07-26",11204
"10","5 000 euros et plus","Tactique des partis traditionnels pour garder le pouvoir",41.8304835088047,928.79827935573,1119,"2024-07-26",11204
