"","Y6EDUST","Y6ENJEURST_0","pct","n","unweighted_n","VAGUE","TAILLEECH"
"1","Aucun diplôme","Le chômage",22.5254566947154,473.248881073723,412,"2024-06-21",11820
"2","Aucun diplôme","Le système scolaire et l’éducation",18.944485640393,473.248881073723,412,"2024-06-21",11820
"3","Aucun diplôme","La sécurité des biens et des personnes",20.1566988173312,473.248881073723,412,"2024-06-21",11820
"4","Aucun diplôme","Le montant des déficits publics",7.22900579556349,473.248881073723,412,"2024-06-21",11820
"5","Aucun diplôme","Autres réponses",31.1443530519969,473.248881073723,412,"2024-06-21",11820
"6","CAP, BEP","Le chômage",18.5961914726174,2206.04253369973,2025,"2024-06-21",11820
"7","CAP, BEP","Le système scolaire et l’éducation",24.5929778589289,2206.04253369973,2025,"2024-06-21",11820
"8","CAP, BEP","La sécurité des biens et des personnes",19.8594285284528,2206.04253369973,2025,"2024-06-21",11820
"9","CAP, BEP","Le montant des déficits publics",6.62058479230846,2206.04253369973,2025,"2024-06-21",11820
"10","CAP, BEP","Autres réponses",30.3308173476924,2206.04253369973,2025,"2024-06-21",11820
"11","Baccalauréat","Le chômage",22.5077414410459,2873.7333942085,2683,"2024-06-21",11820
"12","Baccalauréat","Le système scolaire et l’éducation",21.7038715300378,2873.7333942085,2683,"2024-06-21",11820
"13","Baccalauréat","La sécurité des biens et des personnes",17.4086679929846,2873.7333942085,2683,"2024-06-21",11820
"14","Baccalauréat","Le montant des déficits publics",7.18767488786195,2873.7333942085,2683,"2024-06-21",11820
"15","Baccalauréat","Autres réponses",31.1920441480697,2873.7333942085,2683,"2024-06-21",11820
"16","Bac +2","Le chômage",21.0158061399913,2554.78926486246,2646,"2024-06-21",11820
"17","Bac +2","Le système scolaire et l’éducation",19.0324209563394,2554.78926486246,2646,"2024-06-21",11820
"18","Bac +2","La sécurité des biens et des personnes",14.6557298492693,2554.78926486246,2646,"2024-06-21",11820
"19","Bac +2","Le montant des déficits publics",8.84634144170289,2554.78926486246,2646,"2024-06-21",11820
"20","Bac +2","Autres réponses",36.4497016126971,2554.78926486246,2646,"2024-06-21",11820
"21","Bac +3 et plus","Le chômage",18.7523271229272,3712.18592615557,4054,"2024-06-21",11820
"22","Bac +3 et plus","Le système scolaire et l’éducation",13.9708994713246,3712.18592615557,4054,"2024-06-21",11820
"23","Bac +3 et plus","La sécurité des biens et des personnes",12.5254408883228,3712.18592615557,4054,"2024-06-21",11820
"24","Bac +3 et plus","Le montant des déficits publics",11.206989403426,3712.18592615557,4054,"2024-06-21",11820
"25","Bac +3 et plus","Autres réponses",43.5443431139993,3712.18592615557,4054,"2024-06-21",11820
