"","Y2PROXST","Y2CERTST","pct","n","unweighted_n"
"1","Lutte Ouvrière","1",13.7416150681126,85.2109247777604,66
"2","Lutte Ouvrière","2",27.3701947550854,85.2109247777604,66
"3","Lutte Ouvrière","3",58.888190176802,85.2109247777604,66
"4","Nouveau Parti Anticapitaliste","1",7.58889726088337,119.670439552228,96
"5","Nouveau Parti Anticapitaliste","2",37.2022348389416,119.670439552228,96
"6","Nouveau Parti Anticapitaliste","3",55.208867900175,119.670439552228,96
"7","Parti Communiste Français","1",8.28177476223183,267.238539761347,295
"8","Parti Communiste Français","2",20.9173678978626,267.238539761347,295
"9","Parti Communiste Français","3",70.8008573399056,267.238539761347,295
"10","France Insoumise","1",10.567379350951,759.8817095321,581
"11","France Insoumise","2",18.8480444272234,759.8817095321,581
"12","France Insoumise","3",70.5845762218256,759.8817095321,581
"13","Parti Socialiste","1",9.82731704799701,875.960255636491,977
"14","Parti Socialiste","2",15.9843754261242,875.960255636491,977
"15","Parti Socialiste","3",74.1883075258788,875.960255636491,977
"16","Europe Ecologie - Les Verts","1",7.60676934609915,637.690028042053,665
"17","Europe Ecologie - Les Verts","2",17.5401711617124,637.690028042053,665
"18","Europe Ecologie - Les Verts","3",74.8530594921884,637.690028042053,665
"19","La République En Marche !, désormais Renaissance","1",5.29895788971435,1215.8834683329,1312
"20","La République En Marche !, désormais Renaissance","2",14.0035455456616,1215.8834683329,1312
"21","La République En Marche !, désormais Renaissance","3",80.697496564624,1215.8834683329,1312
"22","Le MoDem (Mouvement Démocrate)","1",4.99890131655501,202.737284720139,246
"23","Le MoDem (Mouvement Démocrate)","2",11.6946765928251,202.737284720139,246
"24","Le MoDem (Mouvement Démocrate)","3",83.3064220906199,202.737284720139,246
"25","Horizons","1",8.42507309560261,147.25215151662,179
"26","Horizons","2",10.4225345525223,147.25215151662,179
"27","Horizons","3",81.1523923518751,147.25215151662,179
"28","L’UDI (Union des Démocrates et Indépendants)","1",1.82809965959017,96.6903382774467,125
"29","L’UDI (Union des Démocrates et Indépendants)","2",13.5791027769348,96.6903382774467,125
"30","L’UDI (Union des Démocrates et Indépendants)","3",84.592797563475,96.6903382774467,125
"31","Les Républicains","1",5.68401977793688,728.562222989551,919
"32","Les Républicains","2",17.098224889997,728.562222989551,919
"33","Les Républicains","3",77.2177553320661,728.562222989551,919
"34","Debout la France","1",10.181931766719,167.010240434075,182
"35","Debout la France","2",13.1652657237284,167.010240434075,182
"36","Debout la France","3",76.6528025095526,167.010240434075,182
"37","Rassemblement national (ex Front National)","1",13.4133134657402,2090.1515711542,1955
"38","Rassemblement national (ex Front National)","2",16.3558614379886,2090.1515711542,1955
"39","Rassemblement national (ex Front National)","3",70.2308250962712,2090.1515711542,1955
"40","Reconquête!","1",7.09818798137507,354.447063888849,359
"41","Reconquête!","2",11.8658306279168,354.447063888849,359
"42","Reconquête!","3",81.0359813907081,354.447063888849,359
"43","Autre parti","1",14.3046524324762,165.53192753582,175
"44","Autre parti","2",28.7918674856568,165.53192753582,175
"45","Autre parti","3",56.903480081867,165.53192753582,175
"46","Aucun parti","1",26.2713914120612,3774.50575869587,3557
"47","Aucun parti","2",29.2678587069427,3774.50575869587,3557
"48","Aucun parti","3",44.4607498809961,3774.50575869587,3557
